country,year,sex,age,people
WORLD,1950,1,0,171851.238
WORLD,1950,1,5,137992.424
WORLD,1950,1,10,133274.278
WORLD,1950,1,15,121692.743
WORLD,1950,1,20,112394.382
WORLD,1950,1,25,96594.075
WORLD,1950,1,30,83385.946
WORLD,1950,1,35,80596.713
WORLD,1950,1,40,73082.626
WORLD,1950,1,45,63136.479
WORLD,1950,1,50,52593.586
WORLD,1950,1,55,42523.172
WORLD,1950,1,60,34370.241
WORLD,1950,1,65,25049.87
WORLD,1950,1,70,16560.301
WORLD,1950,1,75,9400.711
WORLD,1950,1,80,5522.052
WORLD,1950,1,85,0.0
WORLD,1950,1,90,0.0
WORLD,1950,1,95,0.0
WORLD,1950,1,100,0.0
WORLD,1955,1,0,205694.695
WORLD,1955,1,5,160575.279
WORLD,1955,1,10,134704.278
WORLD,1955,1,15,130203.479
WORLD,1955,1,20,117900.375
WORLD,1955,1,25,108803.044
WORLD,1955,1,30,93329.225
WORLD,1955,1,35,80060.773
WORLD,1955,1,40,76750.142
WORLD,1955,1,45,68303.35
WORLD,1955,1,50,58305.8
WORLD,1955,1,55,46688.761
WORLD,1955,1,60,35878.503
WORLD,1955,1,65,26789.284
WORLD,1955,1,70,17461.573
WORLD,1955,1,75,9937.852
WORLD,1955,1,80,6199.171
WORLD,1955,1,85,0.0
WORLD,1955,1,90,0.0
WORLD,1955,1,95,0.0
WORLD,1955,1,100,0.0
WORLD,1960,1,0,219838.972
WORLD,1960,1,5,194365.39
WORLD,1960,1,10,157670.138
WORLD,1960,1,15,131774.122
WORLD,1960,1,20,126546.188
WORLD,1960,1,25,115017.453
WORLD,1960,1,30,105684.919
WORLD,1960,1,35,90088.108
WORLD,1960,1,40,76433.769
WORLD,1960,1,45,72386.202
WORLD,1960,1,50,63309.069
WORLD,1960,1,55,51969.934
WORLD,1960,1,60,39504.954
WORLD,1960,1,65,28092.396
WORLD,1960,1,70,18851.796
WORLD,1960,1,75,10534.851
WORLD,1960,1,80,6785.24
WORLD,1960,1,85,0.0
WORLD,1960,1,90,0.0
WORLD,1960,1,95,0.0
WORLD,1960,1,100,0.0
WORLD,1965,1,0,244113.395
WORLD,1965,1,5,209018.699
WORLD,1965,1,10,190509.284
WORLD,1965,1,15,154711.187
WORLD,1965,1,20,128341.94
WORLD,1965,1,25,123615.619
WORLD,1965,1,30,112118.253
WORLD,1965,1,35,102568.173
WORLD,1965,1,40,86610.427
WORLD,1965,1,45,72173.275
WORLD,1965,1,50,67103.708
WORLD,1965,1,55,56928.791
WORLD,1965,1,60,44260.651
WORLD,1965,1,65,31389.049
WORLD,1965,1,70,20108.108
WORLD,1965,1,75,11780.266
WORLD,1965,1,80,7608.348
WORLD,1965,1,85,0.0
WORLD,1965,1,90,0.0
WORLD,1965,1,95,0.0
WORLD,1965,1,100,0.0
WORLD,1970,1,0,266514.196
WORLD,1970,1,5,234131.767
WORLD,1970,1,10,206501.382
WORLD,1970,1,15,187728.475
WORLD,1970,1,20,150881.818
WORLD,1970,1,25,125796.286
WORLD,1970,1,30,121093.321
WORLD,1970,1,35,109223.386
WORLD,1970,1,40,99474.025
WORLD,1970,1,45,82986.503
WORLD,1970,1,50,67717.858
WORLD,1970,1,55,61529.252
WORLD,1970,1,60,49830.064
WORLD,1970,1,65,36356.593
WORLD,1970,1,70,23371.998
WORLD,1970,1,75,13080.679
WORLD,1970,1,80,8928.679
WORLD,1970,1,85,0.0
WORLD,1970,1,90,0.0
WORLD,1970,1,95,0.0
WORLD,1970,1,100,0.0
WORLD,1975,1,0,277630.082
WORLD,1975,1,5,256933.001
WORLD,1975,1,10,231284.126
WORLD,1975,1,15,203446.56
WORLD,1975,1,20,184386.955
WORLD,1975,1,25,148923.926
WORLD,1975,1,30,124013.027
WORLD,1975,1,35,118682.291
WORLD,1975,1,40,106451.881
WORLD,1975,1,45,95863.562
WORLD,1975,1,50,78598.357
WORLD,1975,1,55,62371.176
WORLD,1975,1,60,54456.527
WORLD,1975,1,65,41387.487
WORLD,1975,1,70,27470.854
WORLD,1975,1,75,15408.893
WORLD,1975,1,80,10319.249
WORLD,1975,1,85,0.0
WORLD,1975,1,90,0.0
WORLD,1975,1,95,0.0
WORLD,1975,1,100,0.0
WORLD,1980,1,0,279506.942
WORLD,1980,1,5,269179.476
WORLD,1980,1,10,254640.523
WORLD,1980,1,15,229116.537
WORLD,1980,1,20,200633.656
WORLD,1980,1,25,181626.737
WORLD,1980,1,30,146688.974
WORLD,1980,1,35,121080.795
WORLD,1980,1,40,115643.064
WORLD,1980,1,45,102438.641
WORLD,1980,1,50,90964.186
WORLD,1980,1,55,72948.617
WORLD,1980,1,60,55744.875
WORLD,1980,1,65,46107.72
WORLD,1980,1,70,31891.795
WORLD,1980,1,75,18700.691
WORLD,1980,1,80,12132.923
WORLD,1980,1,85,0.0
WORLD,1980,1,90,0.0
WORLD,1980,1,95,0.0
WORLD,1980,1,100,0.0
WORLD,1985,1,0,301557.34
WORLD,1985,1,5,271910.273
WORLD,1985,1,10,266815.976
WORLD,1985,1,15,252466.695
WORLD,1985,1,20,225978.541
WORLD,1985,1,25,197828.426
WORLD,1985,1,30,179321.71
WORLD,1985,1,35,144179.457
WORLD,1985,1,40,118334.884
WORLD,1985,1,45,111769.198
WORLD,1985,1,50,97548.918
WORLD,1985,1,55,84633.39
WORLD,1985,1,60,65489.032
WORLD,1985,1,65,47352.749
WORLD,1985,1,70,35887.348
WORLD,1985,1,75,21778.53
WORLD,1985,1,80,14936.309
WORLD,1985,1,85,0.0
WORLD,1985,1,90,0.0
WORLD,1985,1,95,0.0
WORLD,1985,1,100,0.0
WORLD,1990,1,0,330115.471
WORLD,1990,1,5,294310.839
WORLD,1990,1,10,269946.484
WORLD,1990,1,15,264847.015
WORLD,1990,1,20,249143.26
WORLD,1990,1,25,222647.181
WORLD,1990,1,30,195216.816
WORLD,1990,1,35,176422.092
WORLD,1990,1,40,141192.506
WORLD,1990,1,45,114857.12
WORLD,1990,1,50,106902.847
WORLD,1990,1,55,91354.813
WORLD,1990,1,60,76571.676
WORLD,1990,1,65,56230.275
WORLD,1990,1,70,37413.031
WORLD,1990,1,75,25055.664
WORLD,1990,1,80,12431.246
WORLD,1990,1,85,4505.476
WORLD,1990,1,90,1063.978
WORLD,1990,1,95,176.529
WORLD,1990,1,100,19.382
WORLD,1995,1,0,322455.799
WORLD,1995,1,5,323339.887
WORLD,1995,1,10,292772.271
WORLD,1995,1,15,267665.149
WORLD,1995,1,20,260464.13
WORLD,1995,1,25,245244.041
WORLD,1995,1,30,220033.692
WORLD,1995,1,35,192294.297
WORLD,1995,1,40,172898.414
WORLD,1995,1,45,136967.019
WORLD,1995,1,50,110066.645
WORLD,1995,1,55,100215.053
WORLD,1995,1,60,83007.282
WORLD,1995,1,65,65923.176
WORLD,1995,1,70,44807.818
WORLD,1995,1,75,26447.507
WORLD,1995,1,80,14749.0
WORLD,1995,1,85,5613.253
WORLD,1995,1,90,1427.772
WORLD,1995,1,95,219.658
WORLD,1995,1,100,24.03
WORLD,2000,1,0,312922.708
WORLD,2000,1,5,316851.924
WORLD,2000,1,10,321706.69
WORLD,2000,1,15,290187.31
WORLD,2000,1,20,263313.968
WORLD,2000,1,25,256375.782
WORLD,2000,1,30,242044.902
WORLD,2000,1,35,216360.431
WORLD,2000,1,40,188021.238
WORLD,2000,1,45,167873.318
WORLD,2000,1,50,131298.5
WORLD,2000,1,55,103457.094
WORLD,2000,1,60,91395.675
WORLD,2000,1,65,72204.25
WORLD,2000,1,70,53070.619
